kdrama_name,imdb_rating,imdb_users,imdb_description
100 Days My Prince,7.7,"2,188","Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette."
12 Years Promise,7.3,181,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea."
18 Again,8.2,"1,847",A 37-year-old man on the verge of being divorced from his wife suddenly finds himself inside his 18-year-old body. He starts living a new life under a new name to get closer to his children and protect them.
365: Repeat the Year,8,656,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process."
7th Grade Civil Servant,6.3,145,"A romantic comedy about a spy couple who hides their true identity from each other and at the same time illustrates about the love, friendship and internal department conflicts between the new generation of national intelligence agents."
A Daughter Just Like You,7.1,17,"Hong Ae-Ja (Kim Hye-Ok) works as a host at a home shopping channel. She has three accomplished daughters: Ji-Sung (Woo Hee-Jin), In-Sung (Lee Soo-Kyung) and Hee-Sung (Jung Hye-Seong). Hong Ae-Ja's family interconnects with So Pan-Seok's (Jung Bo-Suk) family and Heo Eun-Sook's (Park Hae-Mi) as in-laws.

—http://asianwiki.com/A_Daughter_Just_Like_You"
A Gentleman's Dignity,8,"1,376","A drama about the careers and love lives of urban professionals. It will tell the story of four men in their forties as they go through love, breakup, success and failure."
A Korean Odyssey,8,"4,741","In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere."
A Love So Beautiful,7.3,"1,038","Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood."
A Model Family,6.6,366,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier."
A New Leaf,6.2,82,An infamous lawyer who loses his memory in an accident but not his skills and talent in deductive reasoning.
A Piece of Your Mind,7.3,741,A romance about an artificial intelligence (AI) programmer and classical recording engineer.
A Place in the Sun,7.2,13,"Kim Yoo Wol became an orphan and he was raised by foster parents. He worked extremely hard and passed his CPA exam. He enjoys happy days with his girlfriend Yoon Shi Wol, but he has a near-death experience. He changes his life and goes under the alias of Oh Tae Yang. He is dead to Yoon Shi Wol. Meanwhile Yoon Shi Wol, who believes her boyfriend Kim Yoo Wol is dead, has a difficult time. She begins to work at conglomerate company Yangji Group. There, she meets Oh Tae Yang."
A Pledge to God,5.3,34,A human melodrama about two married couples who make choices beyond the ethics and morals of this world in order to save their dying children.
A Poem a Day,7.2,217,"Story follows a group of physical therapists, nurses, radiological technologists, and trainees. Ye Jae Wook works as a physical therapist and also teaches in the same field. He begins to work as a team leader at a hospital. Woo Bo Yeong has been working as a physical therapist for 3 years. She wanted to become a poet, but due to her poor family background, she studied to become a physical therapist. Shin Min Ho is a trainee, but he isn't interested in physical therapy. His grades weren't good enough for medical school and his parents, who are both doctors, made him study physical therapy."
A Thousand Days' Promise,8.3,89,"A heart wrenching drama about a woman fighting to keep her dignity while dealing with her Alzheimer's. Can she accept help from her lover, even in the face of disgrace?"
A Thousand Kisses,7.4,26,"After divorcing her unfaithful husband, Joo-Mi receives a second chance at romance with an ex-professional soccer player named Woo-Bin. However, Joo-Mi's and Woo-Bin's age gap poses challenges to be overcome."
A Witch's Love,7.3,498,"Based on the popular Taiwanese drama, My Queen! Despite her witchy reputation at work, 39-year-old tabloid reporter Ban Ji Yeon (Uhm Jung Hwa) is ultra focused on her job. What her colleagues don't know, however, is that the source of her prowess is a broken heart: Since being stood up by her ex-fiance, Ji Yeon has completely written off romance. But in a rare moment of vulnerability, a 25-year-old jack of all trades named Yoon Dong Ha (Park Seo Joon) becomes her unlikely hero. Will they act on their intense sexual tension, or is age a dealbreaker?"
About Time,6.9,605,"Our heroine will have the unfortunate ability to see the ""life clocks"" of everyone around her, including herself, and the hero will somehow be able to stop her ""time"" without lifting a finger. This story will follow time that is stopped, extended, and even erased through the love they have for each other."
Abyss,7.1,"2,371","After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they've come back to life in new bodies they don't recognize."
Adamas,6.9,139,A story of twin brothers uncovering the truth from an incident 22 years ago.
Adult Trainee,6.9,230,Three different coming-of-age stories from the point of view of the protagonists about how they deal with their realities in high school at the end of their teenage period as Gen Z.
Again My Life,7.9,849,"A hot-blooded prosecutor is murdered when he gets entangled in an investigation around a corrupt politician. He gets sent back in time to when he was 18 years old, and he prepares to take down his enemy."
