drama_name,Genres,Tags,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,imdb_rating,imdb_user_count,imdb_description
100 Days My Prince,"['historical', 'comedy', 'romance', 'drama']","['amnesia', 'hidden identity', 'marriage of convenience', 'joseon dynasty', 'fake marriage', 'eccentric male lead', 'hardworking female lead', 'double identity', 'strong female lead', 'riches to rags ']",16,10-Sep-18,30-Oct-18,"['tuesday', 'monday']",['tvN'],75,8.3,21274,554,136,15+ - Teens 15 or older,"45,852","['Doh Kyung Soo', 'Nam Ji Hyun', 'Kim Seon Ho', 'Han So Hee', 'Jo Sung Ha', 'Kim Jae Young']","['WeTV', 'Netflix', 'K-DRAMA', 'Apple TV', 'Viki']",7.7,"2,188","Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette."
12 Signs of Love,"['comedy', 'romance', 'life']",['writer female lead '],16,15-Feb-12,5-Apr-12,"['wednesday', 'thursday']",['tvN'],65,7.1,893,5506,3327,Not Yet Rated,"2,543","['Ohn Joo Wan', 'Yoon Jin Seo', 'Lee Yong Woo', 'Bae Geu Rin', 'Go Joon Hee', 'Kim Sung  Je']",[],N/A,N/A,N/A
12 Years Promise,"['food', 'romance', 'drama', 'family']","['unexpected pregnancy', 'miscarriage', 'teenage pregnancy', 'pregnancy', 'high school to working life', 'rags to riches', 'high school', 'rich male lead', 'first love', 'soap opera ']",26,22-Mar-14,29-Jun-14,"['saturday', 'sunday']",['jTBC'],70,7.2,2716,5395,1783,15+ - Teens 15 or older,"5,435","['Lee So Yeon', 'Namkoong Min', 'Lee Tae Im', 'Park Hae Mi', 'Shin Dong Mi', 'Song Young Kyu']",['Viki'],7.3,181,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea."
18 Again,"['romance', 'life', 'drama', 'fantasy']","['second chance', 'first love', 'father-son relationship', 'divorce', 'father-daughter relationship', 'hardworking female lead', 'mother-daughter relationship', 'school', 'becoming young', 'school bullying ']",16,21-Sep-20,10-Nov-20,"['monday', 'tuesday']",['jTBC'],70,8.7,21409,105,125,15+ - Teens 15 or older,"47,527","['Kim Ha Neul', 'Yoon Sang Hyun', 'Lee Do Hyun', 'Roh Jeong Eui', 'Ryeoun', 'Wi Ha Joon']",['WeTV'],8.2,"1,847",A 37-year-old man on the verge of being divorced from his wife suddenly finds himself inside his 18-year-old body. He starts living a new life under a new name to get closer to his children and protect them.
365: Repeat the Year,"['thriller', 'mystery', 'drama', 'fantasy']","['strong female lead', 'time travel', 'nice male lead', 'suspense', 'murder', 'fate', 'supernatural', 'lying', 'bromance', 'strong male lead ']",24,23-Mar-20,28-Apr-20,"['monday', 'tuesday']",['MBC'],35,8.6,7598,250,438,15+ - Teens 15 or older,"20,963","['Lee Joon Hyuk', 'Nam Ji Hyun', 'Kim Jee Soo', 'Lee Sung Wook', 'Yoon Joo Sang', 'Ahn Seung Gyun']",['Viki'],8,656,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process."
4 Legendary Witches,"['food', 'romance', 'drama', 'family']","['manager supporting character', 'single father', 'widower', 'hardworking female lead', 'entrepreneur', 'wrongfully accused', 'accident', 'poor female lead', 'corruption', 'cohabitation ']",40,25-Oct-14,8-Mar-15,"['saturday', 'sunday']",['MBC'],64,7.7,1151,2840,2821,15+ - Teens 15 or older,"3,156","['Han Ji Hye', 'Ha Seok Jin', 'Go Doo Shim', 'Oh Hyun Kyung', 'Ha Yeon Soo', 'Byun Jung Soo']",[],N/A,N/A,N/A
5th Republic,"['military', 'historical', 'life', 'drama', 'political']","['massacre', 'gwangju uprising', 'death', 'based on true story ']",41,23-Apr-05,1-Sep-05,"['saturday', 'sunday']",['MBC'],65,6.9,6,76723,99999,15+ - Teens 15 or older,81,"['Lee Deok Hwa', 'Seo In Seok', 'Kim Young Ran', 'Song Ok Sook', 'Jung Yoo Chan', 'Park In Hwan']",[],N/A,N/A,N/A
7 First Kisses,"['comedy', 'romance', 'sci-fi']","['reverse-harem', 'miniseries', 'web series', 'advertisement', 'time travel', 'male chases female first', 'short length series', 'time altering', 'multiple mains', ""childhood friends' relationship ""]",8,5-Dec-16,5-Jan-17,"['monday', 'thursday']",['Naver TV Cast'],10,6.9,18317,5949,216,15+ - Teens 15 or older,"34,665","['Lee Cho Hee', 'Choi Ji Woo', 'Lee Joon Gi', 'Park Hae Jin', 'Ji Chang Wook', 'Kai']",['LDF'],N/A,N/A,N/A
7th Grade Civil Servant,"['action', 'comedy', 'romance']","['national intelligence service', 'rivals to lovers', 'spy', 'second chance', 'rich male lead ']",20,23-Jan-13,28-Mar-13,"['wednesday', 'thursday']",['MBC'],65,6.9,4686,5938,985,15+ - Teens 15 or older,"10,347","['Joo Won', 'Choi Kang Hee', 'Kim Min Seo', 'Hwang Chan Sung', 'Noh Young Hak', 'Choi Jong Hwan']",[],6.3,145,"A romantic comedy about a spy couple who hides their true identity from each other and at the same time illustrates about the love, friendship and internal department conflicts between the new generation of national intelligence agents."
#Alive,"['mystery', 'horror', 'supernatural']","['ghost-seeing male lead', 'ghost', 'investigation', 'suspense', 'workplace setting', 'short length series', 'customer service staff', 'workplace abuse', 'miniseries', 'death ']",8,17-Aug-19,28-Aug-19,"['wednesday', 'saturday']",['Naver TV Cast'],10,7.4,265,68801,6080,15+ - Teens 15 or older,"1,025","['Jo Seung Hyun', 'Shin Woo Hee', 'Jeong Seon Yul', 'Kim Joon', 'Park Jung Won']","['Lululala Story Lab', 'Viki']",N/A,N/A,N/A
A Beautiful Mind,"['mystery', 'psychological', 'romance', 'medical']","['antisocial personality disorder', 'eccentric male lead', 'father-son relationship', 'emotional blunting', 'investigation', 'cold man/warm woman', 'slow burn romance', 'character development', 'neurosurgeon male lead', 'hospital setting ']",14,20-Jun-16,2-Aug-16,"['monday', 'tuesday']",['KBS2'],60,8.2,9122,839,366,15+ - Teens 15 or older,"23,734","['Jang Hyuk', 'Park So Dam', 'Yoon Hyun Min', 'Park Se Young', 'Heo Joon Ho', 'Kim Jong Soo']",['Viki'],N/A,N/A,N/A
A Bird That Doesn't Sing,"['romance', 'drama', 'family', 'melodrama']","['wrongfully accused', 'soap opera', 'revenge', 'riches to rags ']",100,4-May-15,22-Oct-15,"['monday', 'tuesday', 'wednesday', 'thursday']",['tvN'],50,7.3,72,70822,8632,Not Yet Rated,552,"['Oh Hyun Kyung', 'Hong Ah Reum', 'Kang Ji Sub', 'Kim Yoo Suk', 'Ahn Jae Min', 'Baek Seung Hee']",[],N/A,N/A,N/A
A Daughter Just Like You,"['comedy', 'romance', 'family', 'melodrama']","['cold female lead', 'single father', 'warm man/cold woman', 'widower', 'independent female lead', 'hardworking female lead', 'strict father', 'selfish mother', 'supportive father-in-law', 'smart female lead ']",120,18-May-15,6-Nov-15,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['MBC'],35,7.5,342,3905,4987,15+ - Teens 15 or older,"1,389","['Lee Soo Kyung', 'Woo Hee Jin', 'Kim Hye Ok', 'Kang Kyung Joon', 'Jung Hye Sung', 'Kang Tae Sung']",[],7.1,17,"Hong Ae-Ja (Kim Hye-Ok) works as a host at a home shopping channel. She has three accomplished daughters: Ji-Sung (Woo Hee-Jin), In-Sung (Lee Soo-Kyung) and Hee-Sung (Jung Hye-Seong). Hong Ae-Ja's family interconnects with So Pan-Seok's (Jung Bo-Suk) family and Heo Eun-Sook's (Park Hae-Mi) as in-laws.

—http://asianwiki.com/A_Daughter_Just_Like_You"
A Gentleman's Dignity,"['comedy', 'romance', 'drama', 'melodrama']","['adult romance', 'bromance', 'friendship', 'age gap [drama life]', 'age gap [real life]', 'male centered plot', 'dissociative amnesia', 'independent female lead', 'mental illness', 'love at first sight ']",20,26-May-12,12-Aug-12,"['saturday', 'sunday']",['SBS'],65,8.3,15678,730,264,15+ - Teens 15 or older,"30,386","['Jang Dong Gun', 'Kim Ha Neul', 'Kim Soo Ro', 'Kim Min Jong', 'Lee Jong Hyuk', 'Yoon Se Ah']",['Viki'],8,"1,376","A drama about the careers and love lives of urban professionals. It will tell the story of four men in their forties as they go through love, breakup, success and failure."
A Girl Who Sees Smells,"['mystery', 'romance', 'supernatural']","['amnesia', 'tragic past', 'nice male lead', 'prosopagnosia', 'female chases male first', 'synesthesia', 'special power', 'orphan female lead', 'psychopath', 'strong female lead ']",16,1-Apr-15,21-May-15,"['wednesday', 'thursday']",['SBS'],60,7.9,20062,1895,163,15+ - Teens 15 or older,"40,391","['Park Yoo Chun', 'Shin Se Kyung', 'Namkoong Min', 'Yoon Jin Seo', 'Song Jong Ho', 'Lee Won Jong']","['Viki', 'Netflix']",N/A,N/A,N/A
A Happy Woman,"['romance', 'drama', 'family', 'melodrama']","['marriage', 'love triangle ']",58,6-Jan-07,22-Jul-07,"['saturday', 'sunday']",['KBS2'],60,6.6,31,79155,99999,15+ - Teens 15 or older,163,"['Jung Gyu Woon', 'Yoon Jung Hee', 'Kim Suk Hoon', 'Jang Mi In Ae', 'Kang Yi Suk', 'Kim Dae Sung']",[],N/A,N/A,N/A
A Hundred Year Legacy,"['romance', 'drama', 'family']","['soap opera', 'married couple', 'divorce', 'food ']",50,5-Jan-13,23-Jun-13,"['saturday', 'sunday']",['MBC'],80,7.2,1506,5372,2663,15+ - Teens 15 or older,"3,439","['Eugene', 'Lee Jung Jin', 'Yoon Ah Jung', 'Choi Won Young', 'Kim Myung Soo', 'Jung Hye Sun']",['Viki'],N/A,N/A,N/A
A Korean Odyssey,"['horror', 'comedy', 'romance', 'fantasy']","['ghost-seeing female lead', 'special power', 'supernatural power', 'demon', 'steamy kiss', 'aggressive male lead', 'ghost', 'tough male lead', 'love/hate relationship', 'bromance ']",20,23-Dec-17,4-Mar-18,"['saturday', 'sunday']","['Netflix', 'tvN']",80,8.3,34175,778,55,15+ - Teens 15 or older,"71,365","['Lee Seung Gi', 'Cha Seung Won', 'Oh Yeon Seo', 'Lee Hong Ki', 'Jang Gwang', 'Lee El']","['Viki', 'Netflix', 'Apple TV']",8,"4,741","In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere."
A Little Love Never Hurts,"['romance', 'drama', 'family']",[''],50,28-Sep-13,30-Mar-14,"['saturday', 'sunday']",['MBC'],64,7,335,5756,4853,15+ - Teens 15 or older,"1,443","['Lee Sang Yeob', 'Shin Da Eun', 'Seo Ji Suk', 'Hong Soo Hyun', 'Choi Soo Rin', 'Kang  Suk Woo']",[],N/A,N/A,N/A
A Love So Beautiful,"['comedy', 'romance', 'life', 'youth']","['unrequited love', 'first love', 'doctor male lead', 'height difference', 'bright female lead', 'female chases male first', 'adapted from a novel', 'love triangle', 'smart male lead', 'high school ']",24,28-Dec-20,20-Feb-21,"['monday', 'thursday', 'saturday']","['Daum Kakao TV', 'Netflix']",20,7.8,12861,2351,353,13+ - Teens 13 or older,"24,624","['Kim Yo Han', 'So Ju Yeon', 'Yeo Hoe Hyun', 'Jo Hye Joo', 'Jung Jae Oh', 'Kim Dong Kyu']","['Kakao TV', 'Netflix']",7.3,"1,038","Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood."
A Model Family,"['thriller', 'mystery', 'crime', 'drama']","['investigation', 'suspense', 'professor male lead', 'gun violence', 'drug usage', 'bankruptcy', 'organized crime', 'secret', 'married couple', 'miniseries ']",10," Aug 12, 2022",N/A,['friday'],['Netflix'],45,7.6,359,3170,3636,18+ Restricted (violence & profanity),"2,243","['Jung Woo', 'Park Hee Soon ', 'Yoon Jin Seo', 'Park Ji Yeon', 'Kim Sung Oh', 'Kim Shin Bi']",['Netflix'],6.6,366,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier."
A New Leaf,"['business', 'law', 'drama']","['lawyer male lead', 'slight romance', 'father-son relationship', 'corruption', 'amnesia ']",16,30-Apr-14,26-Jun-14,"['wednesday', 'thursday']",['MBC'],60,6.8,1216,6101,2623,15+ - Teens 15 or older,"3,498","['Kim Myung Min', 'Kim Sang Joong', 'Park Min Young', 'Oh Jung Se', 'Jin Yi Han', 'Kim Seo Hyung']",['Viki'],6.2,82,An infamous lawyer who loses his memory in an accident but not his skills and talent in deductive reasoning.
A Piece of Your Mind,"['romance', 'life', 'drama', 'melodrama']","['healing', 'depression', 'slow burn romance', 'artificial intelligence', 'character development', 'tragic past', 'insomnia', 'secret crush', 'trauma', 'music ']",12,23-Mar-20,28-Apr-20,"['monday', 'tuesday']",['tvN'],71,8.2,9704,950,324,15+ - Teens 15 or older,"26,179","['Jung Hae In', 'Chae Soo Bin', 'Lee  Ha Na ', 'Kim Sung Gyu', 'Park Ju Hyun', 'Lee Sang Hee']","['Apple TV', 'Viki', 'WeTV']",7.3,741,A romance about an artificial intelligence (AI) programmer and classical recording engineer.
A Place in the Sun,"['business', 'romance', 'drama', 'melodrama']","['car accident', 'tough male lead', 'orphan male lead', 'smart male lead', 'birth secret', 'switched at birth', 'nice male lead', 'unexpected pregnancy', 'jealousy', 'corruption ']",102,3-Jun-19,1-Nov-19,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['KBS2'],35,7.4,221,70165,4617,15+ - Teens 15 or older,"1,545","['Oh Chang Seok', 'Yoon So Yi', 'Choi Sung Jae', 'Ha Shi Eun', 'Jung Han Yong', 'Choi Jung Woo']",['KBS World'],7.2,13,"Kim Yoo Wol became an orphan and he was raised by foster parents. He worked extremely hard and passed his CPA exam. He enjoys happy days with his girlfriend Yoon Shi Wol, but he has a near-death experience. He changes his life and goes under the alias of Oh Tae Yang. He is dead to Yoon Shi Wol. Meanwhile Yoon Shi Wol, who believes her boyfriend Kim Yoo Wol is dead, has a difficult time. She begins to work at conglomerate company Yangji Group. There, she meets Oh Tae Yang."
A Pledge to God,"['romance', 'life', 'family', 'melodrama']","['hardship', ""brothers' relationship"", 'punishment', 'hatred', 'break up', 'nice female lead', 'grandma-grandson relationship', 'repentance', 'chairman', 'news media ']",48,24-Nov-18,16-Feb-19,['saturday'],['MBC'],25,7.6,404,3465,4211,15+ - Teens 15 or older,"1,781","['Han Chae Young', 'Bae Soo Bin', 'Oh Yoon Ah', 'Lee Chun Hee', 'Wang Seok Hyun', 'Kim Dong Yoon']",['Viki'],5.3,34,A human melodrama about two married couples who make choices beyond the ethics and morals of this world in order to save their dying children.
A Poem a Day,"['romance', 'life', 'drama', 'medical']","['poetry', 'nice female lead', 'hardworking female lead', 'strong male lead', 'smart male lead', 'nice male lead', 'female chases male first', 'love triangle', 'hardworking male lead', 'tough male lead ']",16,26-Mar-18,15-May-18,"['monday', 'tuesday']",['tvN'],65,7.9,6017,1896,583,15+ - Teens 15 or older,"17,097","['Lee Yoo Bi', 'Lee Joon Hyuk', 'Jang Dong Yoon', 'Seo Hyun Chul', 'Lee Chae Young', 'Kim Jae Bum']",['K-DRAMA'],7.2,217,"Story follows a group of physical therapists, nurses, radiological technologists, and trainees. Ye Jae Wook works as a physical therapist and also teaches in the same field. He begins to work as a team leader at a hospital. Woo Bo Yeong has been working as a physical therapist for 3 years. She wanted to become a poet, but due to her poor family background, she studied to become a physical therapist. Shin Min Ho is a trainee, but he isn't interested in physical therapy. His grades weren't good enough for medical school and his parents, who are both doctors, made him study physical therapy."
A Superior Day,"['thriller', 'mystery', 'psychological', 'drama']","['gore', 'extreme violence', 'suspense', 'firefighter male lead', 'psychopath male lead', 'skilled killer', 'mental illness', 'trauma', 'father-daughter relationship', 'death ']",8,13-Mar-22,1-May-22,['sunday'],['OCN'],60,7,796,5751,2632,18+ Restricted (violence & profanity),"3,478","['Jin Goo', 'Ha Do Gwon', 'Lee Won Keun', 'Im Hwa Young', 'Cho Yu Ha', 'Han Yi Jin']",['Viki'],N/A,N/A,N/A
